Dataset Mhist
    Number of datapoints: 2175
    Root Location: /data/datasets/mhist_dataset
    Transforms (if any): Compose(
                             ToTensor()
                             Normalize(mean=(0.5071, 0.4866, 0.4409), std=(0.267, 0.256, 0.276))
                         )

Dataset Mhist
    Number of datapoints: 977
    Root Location: /data/datasets/mhist_dataset
    Transforms (if any): Compose(
                             ToTensor()
                             Normalize(mean=(0.5071, 0.4866, 0.4409), std=(0.267, 0.256, 0.276))
                         )

********** Fine-tuning teacher model**********
Evaluation at Epoch 0/150, train_(loss, auc, f1, acc) = 0.477, 0.583, 0.297, 0.75, test_(loss, auc, f1, acc) = 0.537, 0.569, 0.266, 0.68
Evaluation at Epoch 1/150, train_(loss, auc, f1, acc) = 0.439, 0.669, 0.513, 0.79, test_(loss, auc, f1, acc) = 0.502, 0.648, 0.477, 0.73
Evaluation at Epoch 2/150, train_(loss, auc, f1, acc) = 0.414, 0.739, 0.635, 0.81, test_(loss, auc, f1, acc) = 0.474, 0.717, 0.628, 0.76
Evaluation at Epoch 3/150, train_(loss, auc, f1, acc) = 0.402, 0.780, 0.688, 0.82, test_(loss, auc, f1, acc) = 0.460, 0.758, 0.694, 0.78
Evaluation at Epoch 4/150, train_(loss, auc, f1, acc) = 0.386, 0.759, 0.667, 0.83, test_(loss, auc, f1, acc) = 0.462, 0.722, 0.636, 0.77
Evaluation at Epoch 5/150, train_(loss, auc, f1, acc) = 0.376, 0.777, 0.693, 0.84, test_(loss, auc, f1, acc) = 0.456, 0.729, 0.648, 0.77
Evaluation at Epoch 6/150, train_(loss, auc, f1, acc) = 0.367, 0.771, 0.686, 0.84, test_(loss, auc, f1, acc) = 0.457, 0.716, 0.626, 0.76
Evaluation at Epoch 7/150, train_(loss, auc, f1, acc) = 0.359, 0.802, 0.726, 0.85, test_(loss, auc, f1, acc) = 0.447, 0.740, 0.667, 0.77
Evaluation at Epoch 8/150, train_(loss, auc, f1, acc) = 0.356, 0.766, 0.683, 0.84, test_(loss, auc, f1, acc) = 0.464, 0.698, 0.589, 0.76
Evaluation at Epoch 9/150, train_(loss, auc, f1, acc) = 0.346, 0.808, 0.733, 0.85, test_(loss, auc, f1, acc) = 0.443, 0.740, 0.667, 0.77
Evaluation at Epoch 10/150, train_(loss, auc, f1, acc) = 0.340, 0.811, 0.738, 0.85, test_(loss, auc, f1, acc) = 0.441, 0.747, 0.677, 0.78
Evaluation at Epoch 11/150, train_(loss, auc, f1, acc) = 0.334, 0.810, 0.741, 0.86, test_(loss, auc, f1, acc) = 0.444, 0.740, 0.666, 0.78
Evaluation at Epoch 12/150, train_(loss, auc, f1, acc) = 0.329, 0.817, 0.748, 0.86, test_(loss, auc, f1, acc) = 0.440, 0.749, 0.679, 0.78
Evaluation at Epoch 13/150, train_(loss, auc, f1, acc) = 0.326, 0.796, 0.726, 0.86, test_(loss, auc, f1, acc) = 0.451, 0.730, 0.646, 0.78
Evaluation at Epoch 14/150, train_(loss, auc, f1, acc) = 0.320, 0.818, 0.750, 0.86, test_(loss, auc, f1, acc) = 0.440, 0.747, 0.675, 0.78
Evaluation at Epoch 15/150, train_(loss, auc, f1, acc) = 0.317, 0.806, 0.742, 0.87, test_(loss, auc, f1, acc) = 0.449, 0.729, 0.645, 0.77
Evaluation at Epoch 16/150, train_(loss, auc, f1, acc) = 0.313, 0.839, 0.776, 0.87, test_(loss, auc, f1, acc) = 0.436, 0.756, 0.689, 0.78
Evaluation at Epoch 17/150, train_(loss, auc, f1, acc) = 0.308, 0.818, 0.756, 0.87, test_(loss, auc, f1, acc) = 0.442, 0.733, 0.653, 0.77
Evaluation at Epoch 18/150, train_(loss, auc, f1, acc) = 0.305, 0.840, 0.779, 0.88, test_(loss, auc, f1, acc) = 0.436, 0.754, 0.685, 0.78
Evaluation at Epoch 19/150, train_(loss, auc, f1, acc) = 0.302, 0.844, 0.783, 0.88, test_(loss, auc, f1, acc) = 0.435, 0.757, 0.691, 0.78
Evaluation at Epoch 20/150, train_(loss, auc, f1, acc) = 0.298, 0.844, 0.785, 0.88, test_(loss, auc, f1, acc) = 0.436, 0.752, 0.684, 0.78
Evaluation at Epoch 21/150, train_(loss, auc, f1, acc) = 0.295, 0.846, 0.786, 0.88, test_(loss, auc, f1, acc) = 0.436, 0.758, 0.691, 0.79
Evaluation at Epoch 22/150, train_(loss, auc, f1, acc) = 0.291, 0.843, 0.786, 0.88, test_(loss, auc, f1, acc) = 0.436, 0.741, 0.668, 0.77
Evaluation at Epoch 23/150, train_(loss, auc, f1, acc) = 0.288, 0.843, 0.788, 0.88, test_(loss, auc, f1, acc) = 0.439, 0.737, 0.661, 0.77
Evaluation at Epoch 24/150, train_(loss, auc, f1, acc) = 0.285, 0.842, 0.789, 0.89, test_(loss, auc, f1, acc) = 0.440, 0.730, 0.650, 0.77
Evaluation at Epoch 25/150, train_(loss, auc, f1, acc) = 0.283, 0.841, 0.789, 0.89, test_(loss, auc, f1, acc) = 0.441, 0.734, 0.655, 0.77
Evaluation at Epoch 26/150, train_(loss, auc, f1, acc) = 0.280, 0.845, 0.795, 0.89, test_(loss, auc, f1, acc) = 0.442, 0.732, 0.653, 0.77
Evaluation at Epoch 27/150, train_(loss, auc, f1, acc) = 0.278, 0.859, 0.804, 0.89, test_(loss, auc, f1, acc) = 0.435, 0.753, 0.686, 0.78
Evaluation at Epoch 28/150, train_(loss, auc, f1, acc) = 0.274, 0.853, 0.802, 0.89, test_(loss, auc, f1, acc) = 0.438, 0.738, 0.663, 0.77
Evaluation at Epoch 29/150, train_(loss, auc, f1, acc) = 0.273, 0.861, 0.808, 0.89, test_(loss, auc, f1, acc) = 0.435, 0.747, 0.678, 0.77
Evaluation at Epoch 30/150, train_(loss, auc, f1, acc) = 0.271, 0.867, 0.814, 0.89, test_(loss, auc, f1, acc) = 0.434, 0.749, 0.681, 0.77
Evaluation at Epoch 31/150, train_(loss, auc, f1, acc) = 0.268, 0.847, 0.801, 0.89, test_(loss, auc, f1, acc) = 0.445, 0.729, 0.648, 0.77
Evaluation at Epoch 32/150, train_(loss, auc, f1, acc) = 0.269, 0.834, 0.788, 0.89, test_(loss, auc, f1, acc) = 0.454, 0.725, 0.640, 0.77
Evaluation at Epoch 33/150, train_(loss, auc, f1, acc) = 0.262, 0.865, 0.818, 0.90, test_(loss, auc, f1, acc) = 0.437, 0.735, 0.661, 0.77
Evaluation at Epoch 34/150, train_(loss, auc, f1, acc) = 0.260, 0.863, 0.816, 0.90, test_(loss, auc, f1, acc) = 0.438, 0.736, 0.662, 0.77
Evaluation at Epoch 35/150, train_(loss, auc, f1, acc) = 0.258, 0.856, 0.810, 0.90, test_(loss, auc, f1, acc) = 0.442, 0.733, 0.656, 0.77
Evaluation at Epoch 36/150, train_(loss, auc, f1, acc) = 0.256, 0.870, 0.824, 0.90, test_(loss, auc, f1, acc) = 0.437, 0.735, 0.661, 0.76
Evaluation at Epoch 37/150, train_(loss, auc, f1, acc) = 0.253, 0.866, 0.821, 0.90, test_(loss, auc, f1, acc) = 0.438, 0.733, 0.658, 0.76
Evaluation at Epoch 38/150, train_(loss, auc, f1, acc) = 0.251, 0.872, 0.827, 0.90, test_(loss, auc, f1, acc) = 0.438, 0.738, 0.665, 0.77
Evaluation at Epoch 39/150, train_(loss, auc, f1, acc) = 0.250, 0.860, 0.818, 0.90, test_(loss, auc, f1, acc) = 0.444, 0.724, 0.642, 0.76
Evaluation at Epoch 40/150, train_(loss, auc, f1, acc) = 0.248, 0.880, 0.835, 0.91, test_(loss, auc, f1, acc) = 0.436, 0.743, 0.673, 0.77
